

title,salary
大企業案件多数／キャッシュレス時代を支える【開発エンジニア】正社員追加コンテンツ,"月給24万円以上 ＋諸手当
※適性・経験・能力を考慮のうえ決定いたします。

≪研修期間について≫
基本…"
＼第二新卒・未経験歓迎／【ITエンジニア】同期と学べる育成研修正社員追加コンテンツ,300万円～360万円
在宅率100％★自由とスキルUPを両立【フルリモートエンジニア】正社員,420万円～650万円
上流工程~運用まで幅広く活躍！【ITエンジニア】★年間休日125日正社員,440万円～680万円
90％の先輩が未経験スタート！【エンジニア】★リモートOK正社員,300万円～700万円
【ゲームエンジニア】＃未経験歓迎＃リモートあり＃年休125日正社員,300万円～700万円
【IT事務】経験ゼロからいろんなキャリアを描ける★年休125日正社員,300万円～700万円
還元率83％★完全案件選択制＆リモート率90％【ITエンジニア】正社員,480万円～1500万円
【リモートITエンジニア】★月給40万以上 ★リモート率9割以上正社員,500万円～1000万円
<未経験OK>エンジニア志望歓迎【SE/PG】◎年休120日以上正社員,"月給250000円〜月給380000円
※経験・保有技術を考慮の上、当社規定により優遇します
　また、「LPIC」有…"
【ITエンジニア】経験者限定／100％案件選択制／上流工程多数正社員,500万円～1500万円
未経験からじっくり育成！【ITエンジニア】*年休125日*土日祝休正社員,300万円～840万円
創業57年の安定基盤◎完全未経験から始められる【ITエンジニア】正社員,360万円～600万円
＼未経験入社98%／【Webエンジニア】年間休日125日／フルリモ有正社員,380万円～500万円
固定残業なし&月給28万～【ITエンジニア】給与UP優良企業賞 受賞正社員,403万円～1108万円
【ITエンジニア】★年休125日★未経験歓迎★20代が65％！正社員,300万円～420万円
フルリモート研修3ヵ月！未経験から目指す【AIエンジニア】正社員,350万円～600万円
在宅案件多数あり【初級ITエンジニア】未経験OK★残業月平均10h正社員,"◆東京・神奈川・千葉・埼玉勤務:月給23万5,000円〜60万円＋各種手当（残業手当全額支給等）
◆その他の…"
ゲームやアプリの【開発エンジニア】未経験OK★在宅案件多数あり正社員,"◆東京・神奈川・千葉・埼玉勤務:月給23万5,000円〜60万円＋各種手当（残業手当全額支給等）
◆その他の…"
経験半年OK！プライム案件8割【開発エンジニア】フルリモート9割正社員,300万円～720万円
フルリモートOK！【プログラマー/ITサポート】★全員面接OK正社員,260万円～380万円
ほぼ100％未経験♪同期と学べる研修充実【システムエンジニア】正社員,"月給：24万円＋賞与年2回＋残業代全額支給

※あなたのご経験などを考慮し、ご決定します。
※試用期間3…"
★未経験から実践的３カ月研修で育成【ITエンジニア】年休125日正社員,330万円～840万円
上場グループ／還元率80％超／案件選択×在宅可【ITエンジニア】正社員,420万円～1260万円
【ITエンジニア】還元率80%超！フルリモートOK☆上場グループ☆正社員,420万円～1000万円
★上場grp／還元率80％超／完全在宅／年休130日【ITエンジニア】正社員,420万円～1200万円
【ITエンジニア】★リモートあり★PL／PM候補★チーム制を重視正社員,500万円～1000万円
リモート率9割以上！【ITエンジニア】★未経験OK★月給30万円～正社員追加コンテンツ,380万円～780万円
【Web総合職】フルリモート／年休120日・土日祝／残業ほぼ無し！正社員,300万円～500万円
前職待遇考慮！働き易さで選ぶ方はぜひ【ITエンジニア】正社員,250万円～400万円
ゲーム/アニメ好き大歓迎【IT事務】土日祝休み/リモートワーク有正社員,350万円～950万円
自社サービス開発の【WEBエンジニア】★未経験歓迎★20代活躍中正社員,300万円～700万円
大手企業と取引多数！リモートワークあり【ITエンジニア】正社員,371万円～750万円
PCに自信ない方も育成【初級エンジニア】年休125日/ベースUP実施正社員,"【東京】月給245,000円〜＋諸手当＋賞与
【大阪】月給235,000円〜＋諸手当＋賞与
【福岡】月給225,000円…"
家族のように見守る／社内研修3ヵ月／年休125日【ITエンジニア】正社員,350万円～800万円
未経験歓迎！フルリモート研修2ヵ月OK【初級アプリエンジニア】正社員,350万円～600万円
＼現年収＋100万円UP も！／ 給与還元率最大79％！【SE/PG】正社員,450万円～1140万円
【開発エンジニア】リモート案件有★案件還元率82％★昇給年2回正社員,400万円～1000万円
【インフラエンジニア】案件選択可／年2回昇給・賞与／年休125日正社員,400万円～1000万円
【プログラマー】年2回の昇給、賞与/案件還元率82％/年休125日正社員,400万円～1000万円
【フロントエンド】年2回の昇給+賞与/案件還元率82％/年休125日正社員,400万円～1000万円
【テストエンジニア】案件還元率82%◆フルリモートあり正社員,400万円～1000万円
"""100%""自社内開発＆直請け！上流にも携われる【WEBエンジニア】正社員",370万円～700万円
「フルスタック×上流」で次のステージに挑める【ITエンジニア】正社員追加コンテンツ,350万円～700万円
【車載組込みエンジニア】月給45万円以上／前職給を最大限考慮正社員,650万円～1000万円
新卒並みの手厚い教育研修からスタート♪【初級ITエンジニア】正社員追加コンテンツ,400万円
プライム上場Gの【ITエンジニア】★年収100万円以上UPの実績多数正社員追加コンテンツ,400万円～750万円
"【ITエンジニア】設立3年で4⇒327名／30,000件～から自由に選択正社員",500万円～1700万円
【SE】Udemy／書籍購入補助／IT健保etc.⇒約40種類の福利厚生正社員,500万円～1700万円
＼仙台限定募集／【組み込みエンジニア】経験者歓迎★年休132日正社員,400万円～800万円
【ITエンジニア】に選ばれる理由がある×東証スタンダード上場正社員,"月給28万円〜100万円＋各種手当

※ご相談のうえ前職給与額を考慮します。
※上記月給には、固定残業代（…"
#U-29限定【初級ITエンジニア】未経験入社100％⇒サポート充実！正社員追加コンテンツ,300万円～700万円
【ITエンジニア】★前給保証！ ★在宅ワーク実施中 ★未経験OK正社員追加コンテンツ,450万円～700万円
